maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
A	0	1970	2300	65535	20		Eerste zondag van de advent		a	p			001	[]
A	1	1970	2300	65535	130		Maandag in de eerste week van de advent		a	p			002	[]
A	2	1970	2300	65535	130		Dinsdag in de eerste week van de advent		a	p			003	[]
A	3	1970	2300	65535	130		Woensdag in de eerste week van de advent		a	p			004	[]
A	4	1970	2300	65535	130		Donderdag in de eerste week van de advent		a	p			005	[]
A	5	1970	2300	65535	130		Vrijdag in de eerste week van de advent		a	p			006	[]
A	6	1970	2300	65535	130		Zaterdag in de eerste week van de advent		a	p			007	[]
A	7	1970	2300	65535	20		Tweede zondag van de advent		a	p			008	[]
A	8	1970	2300	65535	130		Maandag in de tweede week van de advent		a	p			009	[]
A	9	1970	2300	65535	130		Dinsdag in de tweede week van de advent		a	p			010	[]
A	10	1970	2300	65535	130		Woensdag in de tweede week van de advent		a	p			011	[]
A	11	1970	2300	65535	130		Donderdag in de tweede week van de advent		a	p			012	[]
A	12	1970	2300	65535	130		Vrijdag in de tweede week van de advent		a	p			013	[]
A	13	1970	2300	65535	130		Zaterdag in de tweede week van de advent		a	p			014	[]
A	14	1970	2300	65535	20		Derde zondag van de advent		a	o			015	[]
A	15	1970	2300	65535	130		Maandag in de derde week van de advent		a	p			016	[]
A	16	1970	2300	65535	130		Dinsdag in de derde week van de advent		a	p			017	[]
A	17	1970	2300	65535	130		Woensdag in de derde week van de advent		a	p			018	[]
A	18	1970	2300	65535	130		Donderdag in de derde week van de advent		a	p			019	[]
A	19	1970	2300	65535	130		Vrijdag in de derde week van de advent		a	p			020	[]
A	21	1970	2300	65535	20		Vierde zondag van de advent		b	p	990		021	[]
A	20	1970	2300	65535	135		zaterdag 3						159	[]
A	22	1970	2300	65535	135		maandag 4						161	[]
A	23	1970	2300	65535	135		dinsdag 4						162	[]
A	24	1970	2300	65535	135		woensdag 4						163	[]
A	25	1970	2300	65535	135		donderdag 4						164	[]
A	26	1970	2300	65535	135		vrijdag 4						165	[]
A	27	1970	2300	65535	135		zaterdag 4						166	[]
A	28	1970	2300	65535	135		zondag 5						167	[]
A	29	1970	2300	65535	135		maandag 5						168	[]
A	30	1970	2300	65535	135		dinsdag 5						169	[]
A	31	1970	2300	65535	135		woensdag 5						170	[]
A	32	1970	2300	65535	135		donderdag 5						171	[]
A	33	1970	2300	65535	135		vrijdag 5						172	[]
A	34	1970	2300	65535	135		zaterdag 5						173	[]
N	29	1970	2300	65535	135		maandag 5						168	[]
N	30	1970	2300	65535	135		dinsdag 5						169	[]
N	31	1970	2300	65535	135		woensdag 5						170	[]
N	32	1970	2300	65535	135		donderdag 5						171	[]
N	33	1970	2300	65535	135		vrijdag 5						172	[]
N	34	1970	2300	65535	135		zaterdag 5						173	[]
N	35	1970	2300	65535	135		zondag 6						174	[]
N	36	1970	2300	65535	135		maandag 6						175	[]
N	37	1970	2300	65535	135		dinsdag 6						176	[]
N	38	1970	2300	65535	135		woensdag 6						177	[]
N	39	1970	2300	65535	135		donderdag 6						178	[]
N	40	1970	2300	65535	135		vrijdag 6						179	[]
N	41	1970	2300	65535	135		zaterdag 6						180	[]
N	42	1970	2300	65535	135		zondag 7						181	[]
N	43	1970	2300	65535	135		maandag 7						182	[]
N	44	1970	2300	65535	135		dinsdag 7						183	[]
N	45	1970	2300	65535	135		woensdag 7						184	[]
N	46	1970	2300	65535	135		donderdag 7						185	[]
N	47	1970	2300	65535	135		vrijdag 7						186	[]
N	48	1970	2300	65535	135		zaterdag 7						187	[]
12	17	1970	2300	65535	90	a	17 december		b	p	022			[]
12	18	1970	2300	65535	90	a	18 december		b	p	023			[]
12	19	1970	2300	65535	90	a	19 december		b	p	024			[]
12	20	1970	2300	65535	90	a	20 december		b	p	025			[]
12	21	1970	2300	65535	90	a	21 december		b	p	026			[]
12	22	1970	2300	65535	90	a	22 december		b	p	027			[]
12	23	1970	2300	65535	90	a	23 december		b	p	028			[]
12	24	1970	2300	65535	90	a	24 december		b	p	029			[]
12	24	1970	2300	65535	90	h	Kerstmis: Vigiliemis	Kerst: Vigiliemis	b	w	596			[]
12	24	1970	2300	65535	90	h	Kerstmis: Nachtmis	Kerst: Nachtmis	b	w	599			[]
12	25	1970	2300	65535	19	h	Kerstmis - Dagmis	Kerstmis - Dagmis	k	w	030			[]
12	25	1970	2300	65535	19	h	Kerstmis: Dageraadsmis	Kerstmis: Dageraadsmis	k	w	595			[]
X	1	1970	2300	65535	60	f	Heilige Familie, Jezus, Maria en Jozef	Heilige Familie	k	w	031			[]
12	26	1970	2300	65535	70	f	Heilige Stefanus, eerste martelaar	Heilige Stefanus	k	r	032			[]
12	27	1970	2300	65535	70	f	Heilige Johannes, apostel en evangelist (patroon van het bisdom 's-Hertogenbosch)	Heilige Johannes	k	w	033			[]
12	28	1970	2300	65535	70	f	HH. Onnozele kinderen, martelaren	HH. Onnozele kinderen	k	r	034			[]
12	29	1970	2300	65535	90		Vijfde dag onder het Octaaf van Kerstmis	Vijfde dag kerstoctaaf	k	w	035			[]
12	30	1970	2300	65535	90		Zesde dag onder het Octaaf van Kerstmis	Zesde dag kerstoctaaf	k	w	036			[]
12	31	1970	2300	65535	90		Zevende dag onder het Octaaf van Kerstmis	Zevende dag kerstoctaaf	k	w	037			[]
1	1	1970	2300	65535	30	h	Heilige Maria, Moeder van God	Heilige Maria	k	w	038	902		[]
1	2	1970	2300	65535	134		2 januari		k	w	039			[]
1	3	1970	2300	65535	134		3 januari		k	w	040			[]
1	4	1970	2300	65535	134		4 januari		k	w	041			[]
1	5	1970	2300	65535	134		5 januari		k	w	042			[]
1	6	1970	2300	65535	134		6 januari		k	w	043			[]
1	7	1970	2300	65535	134		7 januari		k	w	044			[]
X	2	1970	2300	65535	20	h	Openbaring des Heren	Openbaring des Heren	l	w	045			[]
X	3	1970	2300	65535	132		Maandag na Openbaring des Heren		l	w			046	[]
X	4	1970	2300	65535	132		Dinsdag na Openbaring des Heren		l	w			047	[]
X	5	1970	2300	65535	132		Woensdag na Openbaring des Heren		l	w			048	[]
X	6	1970	2300	65535	132		Donderdag na Openbaring des Heren		l	w			049	[]
X	7	1970	2300	65535	132		Vrijdag na Openbaring des Heren		l	w			050	[]
X	8	1970	2300	65535	132		Zaterdag na Openbaring des Heren		l	w			051	[]
X	9	1970	2300	65535	50	f	Doop van de Heer	Doop van de Heer	l	w	052			[]
P	-46	1970	2300	65535	20		Aswoensdag	Aswoensdag	v	p	053			[]
P	-45	1970	2300	65535	90		Donderdag na Aswoensdag		v	p			054	[]
P	-44	1970	2300	65535	90		Vrijdag na Aswoensdag		v	p			055	[]
P	-43	1970	2300	65535	90		Zaterdag na Aswoensdag		v	p			056	[]
P	-42	1970	2300	65535	20		Eerste zondag in de veertigdagentijd		v	p			057	[]
P	-41	1970	2300	65535	90		Maandag in de eerste week van de veertigdagentijd		v	p			058	[]
P	-40	1970	2300	65535	90		Dinsdag in de eerste week van de veertigdagentijd		v	p			059	[]
P	-39	1970	2300	65535	90		Woensdag in de eerste week van de veertigdagentijd		v	p			060	[]
P	-38	1970	2300	65535	90		Donderdag in de eerste week van de veertigdagentijd		v	p			061	[]
P	-37	1970	2300	65535	90		Vrijdag in de eerste week van de veertigdagentijd		v	p			062	[]
P	-36	1970	2300	65535	90		Zaterdag in de eerste week van de veertigdagentijd		v	p			063	[]
P	-35	1970	2300	65535	20		Tweede zondag in de veertigdagentijd		v	p			064	[]
P	-34	1970	2300	65535	90		Maandag in de tweede week van de veertigdagentijd		v	p			065	[]
P	-33	1970	2300	65535	90		Dinsdag in de tweede week van de veertigdagentijd		v	p			066	[]
P	-32	1970	2300	65535	90		Woensdag in de tweede week van de veertigdagentijd		v	p			067	[]
